package,module,source,output,reference,generic_before,generic_after,renamed_symbols,syntax_ok,bytecode_equal,encoding_ok,newline_ok,mode
mir264,mir2.scenes.main.pc.hotKeySetting,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.pc.hotKeySetting,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.pc.hotKeySetting.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.pc.hotKeySetting.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.pc.operate,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.pc.operate,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.pc.operate.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.pc.operate.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.pc.skilldelegate,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.pc.skilldelegate,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.pc.skilldelegate.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.pc.skilldelegate.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.pc.uicontroller,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.pc.uicontroller,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.pc.uicontroller.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.pc.uicontroller.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def.frame,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def.frame,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.frame.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.frame.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def.hp,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def.hp,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.hp.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.hp.lua,71,0,22,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def.mon,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def.mon,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.mon.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.mon.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def.offset,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def.offset,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.offset.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.offset.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def.state,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def.state,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.state.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.state.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.def.weapon,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.def.weapon,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.def.weapon.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.def.weapon.lua,0,0,0,True,True,True,True,function-local-readable+method-sugar
mir264,mir2.scenes.main.role.hero,D:\loym2\白猪G2.5 0518离线[必须更新]\dec\mir264_dec_还原\mir2.scenes.main.role.hero,D:\loym2\白猪G2.5_0518_lua_plain_readable_20260710_014719\mir264\mir2.scenes.main.role.hero.lua,D:\loym2\很早的原始客户端明文\mir2\mir2.scenes.main.role.hero.lua,55,0,12,True,True,True,True,function-local-readable+method-sugar
